Data,Transformação Mineral  - ferro-gusa - produção - Tonelada - Instituto Brasileiro de Siderurgia- Informe Estatístico (IBS/IE) - IBSIE12_QSCFG12,
1980.01,1005.8,
1980.02,963.9,
1980.03,1048.4,
1980.04,1037.9,
1980.05,1095.8,
1980.06,1042.6,
1980.07,1093.1,
1980.08,1074,
1980.09,1050.2,
1980.10,1123.9,
1980.11,1085.4,
1980.12,1064.3,
1981.01,1070.4,
1981.02,981.6,
1981.03,1072.8,
1981.04,942.3,
1981.05,976.7,
1981.06,843.6,
1981.07,814,
1981.08,843.7,
1981.09,804,
1981.10,816,
1981.11,761,
1981.12,865.1,
1982.01,852.8,
1982.02,799.1,
1982.03,794.6,
1982.04,803.6,
1982.05,891,
1982.06,864.4,
1982.07,1020.7,
1982.08,1029.2,
1982.09,1023.3,
1982.10,1016.5,
1982.11,926.4,
1982.12,805.7,
1983.01,904.2,
1983.02,801.5,
1983.03,988.2,
1983.04,990,
1983.05,1081.1,
1983.06,1056.9,
1983.07,1126.8,
1983.08,1158.4,
1983.09,1139.4,
1983.10,1173.3,
1983.11,1158.2,
1983.12,1366.6,
1984.01,1417.1,
1984.02,1331.2,
1984.03,1419.1,
1984.04,1414.8,
1984.05,1493.9,
1984.06,1390.1,
1984.07,1488.2,
1984.08,1550.3,
1984.09,1391.5,
1984.10,1482.4,
1984.11,1426.8,
1984.12,1424.3,
1985.01,1315.832,
1985.02,1255.037,
1985.03,1543.199,
1985.04,1457.942,
1985.05,1623.829,
1985.06,1601.867,
1985.07,1746.075,
1985.08,1678.672,
1985.09,1668.789,
1985.10,1716.019,
1985.11,1643.867,
1985.12,1709.507,
1986.01,1653.438,
1986.02,1511.527,
1986.03,1676.038,
1986.04,1661.596,
1986.05,1771.44,
1986.06,1610.263,
1986.07,1631.061,
1986.08,1743.145,
1986.09,1774.415,
1986.10,1840.449,
1986.11,1681.126,
1986.12,1713.158,
1987.01,1746.319,
1987.02,1638.401,
1987.03,1663.591,
1987.04,1608.434,
1987.05,1666.786,
1987.06,1635.887,
1987.07,1829.545,
1987.08,1874.354,
1987.09,1887.512,
1987.10,1964.91,
1987.11,1924.886,
1987.12,1894.096,
1988.01,1898.001,
1988.02,1767.497,
1988.03,1972.083,
1988.04,1797.255,
1988.05,1815.466,
1988.06,1909.238,
1988.07,2064.421,
1988.08,2141.489,
1988.09,2084.133,
1988.10,2119.699,
1988.11,1866.581,
1988.12,2018.515,
1989.01,2064.2,
1989.02,1925.3,
1989.03,2077.8,
1989.04,2045.5,
1989.05,1945.3,
1989.06,1910.9,
1989.07,2021.4,
1989.08,2125.4,
1989.09,2036.4,
1989.10,2089.9,
1989.11,2049.8,
1989.12,2071.1,
1990.01,1982.8,
1990.02,1757.8,
1990.03,1933.3,
1990.04,1627.6,
1990.05,1602.3,
1990.06,1544.4,
1990.07,1719.6,
1990.08,1584.7,
1990.09,1796.6,
1990.10,1941.9,
1990.11,1786,
1990.12,1863.9,
1991.01,1812.6,
1991.02,1658.9,
1991.03,1870.3,
1991.04,1864.3,
1991.05,1921.2,
1991.06,1644.1,
1991.07,1752.7,
1991.08,1993.6,
1991.09,2000.5,
1991.10,2060.6,
1991.11,1971.3,
1991.12,1914,
1992.01,1965.6,
1992.02,1701.1,
1992.03,1873.7,
1992.04,1831.9,
1992.05,1920.2,
1992.06,1866.8,
1992.07,2002.6,
1992.08,2057.7,
1992.09,1932.5,
1992.10,2002.1,
1992.11,1933.5,
1992.12,2055.5,
1993.01,1869,
1993.02,1753.6,
1993.03,1865.3,
1993.04,1927.4,
1993.05,1997.6,
1993.06,1980.5,
1993.07,2039,
1993.08,2113.9,
1993.09,2084.5,
1993.10,2131.3,
1993.11,2072.8,
1993.12,2052.5,
1994.01,2095.6,
1994.02,1930.8,
1994.03,2071.1,
1994.04,2047.6,
1994.05,2191.1,
1994.06,2136.6,
1994.07,2170.1,
1994.08,2055.6,
1994.09,1962.6,
1994.10,2146.7,
1994.11,2111.9,
1994.12,2255.7,
1995.01,2134.3,
1995.02,1945,
1995.03,2150.2,
1995.04,1876,
1995.05,2026,
1995.06,2023.6,
1995.07,2230.4,
1995.08,2255.6,
1995.09,2098.3,
1995.10,2222.5,
1995.11,2092,
1995.12,2186.3,
1996.01,2067.1,
1996.02,1977.4,
1996.03,1939.7,
1996.04,1794.4,
1996.05,1814.7,
1996.06,1985.7,
1996.07,2107.6,
1996.08,2099.7,
1996.09,2053.8,
1996.10,2104.9,
1996.11,2060.4,
1996.12,2124,
1997.01,1952.6,
1997.02,1863.9,
1997.03,2056,
1997.04,2066.2,
1997.05,2099.1,
1997.06,2113.2,
1997.07,2139.2,
1997.08,2147.4,
1997.09,2148.3,
1997.10,2070.2,
1997.11,2086.1,
1997.12,2222.7,
1998.01,2183.8,
1998.02,2036.6,
1998.03,2167.5,
1998.04,2069.5,
1998.05,2209.7,
1998.06,2121.6,
1998.07,2316.1,
1998.08,2280.5,
1998.09,2023.6,
1998.10,2059.5,
1998.11,1906.1,
1998.12,1886.5,
1999.01,1994.1,
1999.02,1804.9,
1999.03,2007.4,
1999.04,2020.1,
1999.05,2058.9,
1999.06,1955.7,
1999.07,1968.8,
1999.08,2092,
1999.09,2081.9,
1999.10,2084.1,
1999.11,2215.4,
1999.12,2249.1,
2000.01,2164.8,
2000.02,2172.4,
2000.03,2317.5,
2000.04,2227,
2000.05,2326,
2000.06,2299.5,
2000.07,2313.5,
2000.08,2378.9,
2000.09,2334.7,
2000.10,2397.5,
2000.11,2408.3,
2000.12,2310.7,
2001.01,2441.8,
2001.02,2310.4,
2001.03,2504,
2001.04,2378.3,
2001.05,2276.9,
2001.06,1918.8,
2001.07,1977.5,
2001.08,2249.7,
2001.09,2308.1,
2001.10,2303.4,
2001.11,2296.9,
2001.12,2425.2,
2002.01,2330.1,
2002.02,2220.2,
2002.03,2425.6,
2002.04,2199.1,
2002.05,2485.2,
2002.06,2428.7,
2002.07,2519.5,
2002.08,2597.1,
2002.09,2599.3,
2002.10,2646.1,
2002.11,2584.7,
2002.12,2659.6,
2003.01,2494.3,
2003.02,2390.3,
2003.03,2659.2,
2003.04,2502.3,
2003.05,2716.1,
2003.06,2711.8,
2003.07,2792.6,
2003.08,2860.2,
2003.09,2726.4,
2003.10,2654.8,
2003.11,2701.1,
2003.12,2829.4,
2004.01,2808.4,
2004.02,2673.4,
2004.03,2858.1,
2004.04,2786.2,
2004.05,2868.4,
2004.06,2910.1,
2004.07,2954.5,
2004.08,2983.4,
2004.09,2922.2,
2004.10,2917.6,
2004.11,2882.2,
2004.12,3014.2,
2005.01,2816.4,
2005.02,2771.3,
2005.03,2918.4,
2005.04,2940,
2005.05,2983.2,
2005.06,2534.2,
2005.07,2926.3,
2005.08,2992.2,
2005.09,2866.1,
2005.10,2983.5,
2005.11,2800.2,
2005.12,2820.2,
2006.01,2594.3,
2006.02,2229,
2006.03,2519.6,
2006.04,2486.9,
2006.05,2495.1,
2006.06,2440.7,
2006.07,2926.3,
2006.08,3001.2,
2006.09,2922.5,
2006.10,2946.6,
2006.11,2821.9,
2006.12,2895.8,
2007.01,2866.7,
2007.02,2459.8,
2007.03,2896.1,
2007.04,2691.8,
2007.05,2991.7,
2007.06,2850,
2007.07,3035,
2007.08,3153.6,
2007.09,3023.9,
2007.10,3095,
2007.11,3012.5,
2007.12,3246.6,
2008.01,3231.6,
2008.02,2887.9,
2008.03,3080.7,
2008.04,2958.1,
2008.05,3125.9,
2008.06,3133.3,
2008.07,3289.3,
2008.08,3355.6,
2008.09,3205.2,
2008.10,3105.7,
2008.11,2293.1,
2008.12,1815.5,
2009.01,1681.9,
2009.02,1598.5,
2009.03,1656.9,
2009.04,1595.5,
2009.05,1656.9,
2009.06,1725.6,
2009.07,2245.2,
2009.08,2550.9,
2009.09,2609.1,
2009.10,2827,
2009.11,2631.5,
2009.12,2641.7,
2010.01,2655.1,
2010.02,2450.7,
2010.03,2742.9,
2010.04,2568.8,
2010.05,2584.7,
2010.06,2691.8,
2010.07,2680.6,
2010.08,2654.8,
2010.09,2694.6,
2010.10,2772.5,
2010.11,2488.2,
2010.12,2464.7,
2011.01,2653,
2011.02,2612.2,
2011.03,2859.4,
2011.04,2805.3,
2011.05,3074.2,
2011.06,2761.5,
2011.07,2923.2,
2011.08,2346.8,
2011.09,2172.6,
2011.10,2191.9,
2011.11,2145.7,
2011.12,2242.1,
2012.01,2215.2,
2012.02,2154.9,
2012.03,2416.3,
2012.04,2354.2,
2012.05,2234.5,
2012.06,2154.6,
2012.07,2300.2,
2012.08,2201.3,
2012.09,2206.4,
2012.10,2442,
2012.11,2180.2,
2012.12,2186.5,
2013.01,2178.041,
2013.02,1999.501,
2013.03,2157.547,
2013.04,2239.881,
2013.05,2240.067,
2013.06,2123.028,
2013.07,2213.095,
2013.08,2308.4,
2013.09,2244.132,
2013.10,2247.802,
2013.11,2055.209,
2013.12,2193.517,
2014.01,2102.952,
2014.02,1949.064,
2014.03,2238.002,
2014.04,2076.291,
2014.05,2181.888,
2014.06,2203.266,
2014.07,2357.12,
2014.08,2441.311,
2014.09,2418.174,
2014.10,2434.747,
2014.11,2162.414,
2014.12,2451.077,
2015.01,2500.763,
2015.02,2172.337,
2015.03,2278.778,
2015.04,2372.167,
2015.05,2452.68,
2015.06,2343.848,
2015.07,2378.113,
2015.08,2365.971,
2015.09,2212.049,
2015.10,2445.078,
2015.11,2170.263,
2015.12,2292.573,
2016.01,2123.33,
2016.02,1936.566,
2016.03,2097.748,
2016.04,1854.489,
2016.05,2115,
2016.06,2149.622,
2016.07,2361.876,
2016.08,2391.591,
2016.09,2296.826,
2016.10,2482.535,
2016.11,2320.969,
2016.12,2214.319,
2017.01,2293.366,
2017.02,2073.46,
2017.03,2375.179,
2017.04,2409.201,
2017.05,2497.984,
2017.06,2285.293,
2017.07,2337.139,
2017.08,2461.266,
2017.09,2441.65,
2017.10,2494.033,
2017.11,2470.478,
2017.12,2432.557,
2018.01,2368.131,
2018.02,2170.824,
2018.03,2442.014,
2018.04,2356.472,
2018.05,2239.203,
2018.06,2374.735,
2018.07,2481.177,
2018.08,2349.081,
2018.09,2532.742,
2018.10,2556.997,
2018.11,2345.018,
2018.12,2438.691,
2019.01,2451.106,
2019.02,2200.532,
2019.03,2355.977,
2019.04,2382.641,
2019.05,2295.396,
2019.06,2277.06,
2019.07,1879.477,
2019.08,1926.313,
2019.09,1906.233,
2019.10,2193.394,
2019.11,2179.277,
2019.12,2232.93,
2020.01,2170.653,
2020.02,2178.222,
2020.03,2098.985,
2020.04,1750.599,
2020.05,1717.946,
2020.06,1678.065,
2020.07,2015.007,
2020.08,2140.395,
2020.09,2015.008,
2020.10,2172.379,
2020.11,2344.082,
2020.12,2346.943,
2021.01,2431.003,
2021.02,2252.068,
2021.03,2174.449,
2021.04,2322.129,
2021.05,2419.579,
2021.06,2386.476,
2021.07,2470.382,
2021.08,2541.996,
2021.09,2489.439,
2021.10,2249.299,
2021.11,2376.985,
